GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,Pop_1850
G0100010,1850,Alabama,10,Autauga,10,Autauga,15023
G0100030,1850,Alabama,10,Baldwin,30,Baldwin,4414
G0100050,1850,Alabama,10,Barbour,50,Barbour,23632
G0100055,1850,Alabama,10,Benton,55,Benton,17163
G0100070,1850,Alabama,10,Bibb,70,Bibb,9969
G0100090,1850,Alabama,10,Blount,90,Blount,7367
G0100130,1850,Alabama,10,Butler,130,Butler,10836
G0100170,1850,Alabama,10,Chambers,170,Chambers,23960
G0100190,1850,Alabama,10,Cherokee,190,Cherokee,13884
G0100230,1850,Alabama,10,Choctaw,230,Choctaw,8389
G0100250,1850,Alabama,10,Clarke,250,Clarke,9786
G0100310,1850,Alabama,10,Coffee,310,Coffee,5940
G0100350,1850,Alabama,10,Conecuh,350,Conecuh,9322
G0100370,1850,Alabama,10,Coosa,370,Coosa,14543
G0100390,1850,Alabama,10,Covington,390,Covington,3645
G0100450,1850,Alabama,10,Dale,450,Dale,6382
G0100470,1850,Alabama,10,Dallas,470,Dallas,29727
G0100490,1850,Alabama,10,DeKalb,490,Dekalb,8245
G0100570,1850,Alabama,10,Fayette,570,Fayette,9681
G0100590,1850,Alabama,10,Franklin,590,Franklin,19610
G0100630,1850,Alabama,10,Greene,630,Greene,31441
G0100655,1850,Alabama,10,Hancock,655,Hancock,1542
G0100670,1850,Alabama,10,Henry,670,Henry,9019
G0100710,1850,Alabama,10,Jackson,710,Jackson,14088
G0100730,1850,Alabama,10,Jefferson,730,Jefferson,8989
G0100770,1850,Alabama,10,Lauderdale,770,Lauderdale,17172
G0100790,1850,Alabama,10,Lawrence,790,Lawrence,15258
G0100830,1850,Alabama,10,Limestone,830,Limestone,16483
G0100850,1850,Alabama,10,Lowndes,850,Lowndes,21915
G0100870,1850,Alabama,10,Macon,870,Macon,26898
G0100890,1850,Alabama,10,Madison,890,Madison,26427
G0100910,1850,Alabama,10,Marengo,910,Marengo,27831
G0100930,1850,Alabama,10,Marion,930,Marion,7833
G0100950,1850,Alabama,10,Marshall,950,Marshall,8846
G0100970,1850,Alabama,10,Mobile,970,Mobile,27600
G0100990,1850,Alabama,10,Monroe,990,Monroe,12013
G0101010,1850,Alabama,10,Montgomery,1010,Montgomery,29711
G0101030,1850,Alabama,10,Morgan,1030,Morgan,10125
G0101050,1850,Alabama,10,Perry,1050,Perry,22285
G0101070,1850,Alabama,10,Pickens,1070,Pickens,21512
G0101090,1850,Alabama,10,Pike,1090,Pike,15920
G0101110,1850,Alabama,10,Randolph,1110,Randolph,11581
G0101130,1850,Alabama,10,Russell,1130,Russell,19548
G0101150,1850,Alabama,10,St Clair,1150,St Clair,6829
G0101170,1850,Alabama,10,Shelby,1170,Shelby,9536
G0101190,1850,Alabama,10,Sumter,1190,Sumter,22250
G0101210,1850,Alabama,10,Talladega,1210,Talladega,18624
